PK,SK,word,kanji,EntityType
WORD#52,KANJI#134,会社,社,WordKanji
WORD#57,KANJI#86,映画館,館,WordKanji
WORD#57,KANJI#170,映画館,映,WordKanji
WORD#57,KANJI#144,映画館,画,WordKanji
WORD#58,KANJI#196,本屋,屋,WordKanji
WORD#58,KANJI#29,本屋,本,WordKanji
WORD#59,KANJI#119,花屋,花,WordKanji
WORD#59,KANJI#196,花屋,屋,WordKanji
WORD#60,KANJI#196,ケーキ屋,屋,WordKanji
WORD#61,KANJI#196,ラーメン屋,屋,WordKanji
WORD#62,KANJI#196,カレー屋,屋,WordKanji
WORD#64,KANJI#198,家,家,WordKanji
WORD#65,KANJI#41,学校,学,WordKanji
WORD#65,KANJI#26,学校,校,WordKanji
WORD#66,KANJI#45,大学,大,WordKanji
WORD#66,KANJI#41,大学,学,WordKanji
WORD#69,KANJI#86,博物館,館,WordKanji
WORD#69,KANJI#2092,博物館,博,WordKanji
WORD#69,KANJI#151,博物館,物,WordKanji
WORD#70,KANJI#231,公園,公,WordKanji
WORD#70,KANJI#539,公園,園,WordKanji
WORD#71,KANJI#86,大使館,館,WordKanji
WORD#71,KANJI#45,大使館,大,WordKanji
WORD#71,KANJI#235,大使館,使,WordKanji
WORD#72,KANJI#145,町,町,WordKanji
WORD#73,KANJI#221,北口,口,WordKanji
WORD#73,KANJI#58,北口,北,WordKanji
WORD#74,KANJI#221,南口,口,WordKanji
WORD#74,KANJI#53,南口,南,WordKanji
WORD#75,KANJI#221,東口,口,WordKanji
WORD#75,KANJI#27,東口,東,WordKanji
WORD#76,KANJI#221,西口,口,WordKanji
WORD#76,KANJI#13,西口,西,WordKanji
WORD#77,KANJI#1409,季節,節,WordKanji
WORD#77,KANJI#909,季節,季,WordKanji
WORD#78,KANJI#169,春,春,WordKanji
WORD#79,KANJI#208,夏,夏,WordKanji
WORD#80,KANJI#132,秋,秋,WordKanji
WORD#81,KANJI#229,冬,冬,WordKanji
WORD#82,KANJI#198,家族,家,WordKanji
WORD#82,KANJI#173,家族,族,WordKanji
WORD#83,KANJI#52,友達,友,WordKanji
WORD#83,KANJI#283,友達,達,WordKanji
WORD#84,KANJI#20,父,父,WordKanji
WORD#85,KANJI#20,お父さん,父,WordKanji
WORD#86,KANJI#25,母,母,WordKanji
WORD#87,KANJI#25,お母さん,母,WordKanji
WORD#88,KANJI#232,兄,兄,WordKanji
WORD#89,KANJI#232,お兄さん,兄,WordKanji
WORD#90,KANJI#203,姉,姉,WordKanji
WORD#91,KANJI#203,お姉さん,姉,WordKanji
WORD#92,KANJI#189,弟,弟,WordKanji
WORD#93,KANJI#204,妹,妹,WordKanji
WORD#94,KANJI#189,兄弟,弟,WordKanji
WORD#94,KANJI#232,兄弟,兄,WordKanji
WORD#95,KANJI#477,息子,息,WordKanji
WORD#95,KANJI#42,息子,子,WordKanji
WORD#96,KANJI#527,娘,娘,WordKanji
WORD#97,KANJI#18,男,男,WordKanji
WORD#98,KANJI#43,女,女,WordKanji
WORD#99,KANJI#531,夫,夫,WordKanji
WORD#100,KANJI#70,ご主人,人,WordKanji
WORD#100,KANJI#245,ご主人,主,WordKanji
WORD#101,KANJI#528,妻,妻,WordKanji
WORD#102,KANJI#912,奥さん,奥,WordKanji
WORD#103,KANJI#116,両親,親,WordKanji
WORD#103,KANJI#616,両親,両,WordKanji
WORD#104,KANJI#600,子供,供,WordKanji
WORD#104,KANJI#42,子供,子,WordKanji
WORD#105,KANJI#368,祖父,祖,WordKanji
WORD#105,KANJI#20,祖父,父,WordKanji
