PK,SK,word,kanji,EntityType
KANJI#229,WORD#81,冬,冬,KanjiWord
KANJI#198,WORD#82,家族,家,KanjiWord
KANJI#173,WORD#82,家族,族,KanjiWord
KANJI#52,WORD#83,友達,友,KanjiWord
KANJI#283,WORD#83,友達,達,KanjiWord
KANJI#20,WORD#84,父,父,KanjiWord
KANJI#20,WORD#85,お父さん,父,KanjiWord
KANJI#25,WORD#86,母,母,KanjiWord
KANJI#25,WORD#87,お母さん,母,KanjiWord
KANJI#232,WORD#88,兄,兄,KanjiWord
KANJI#232,WORD#89,お兄さん,兄,KanjiWord
KANJI#203,WORD#90,姉,姉,KanjiWord
KANJI#203,WORD#91,お姉さん,姉,KanjiWord
KANJI#189,WORD#92,弟,弟,KanjiWord
KANJI#204,WORD#93,妹,妹,KanjiWord
KANJI#189,WORD#94,兄弟,弟,KanjiWord
KANJI#232,WORD#94,兄弟,兄,KanjiWord
KANJI#477,WORD#95,息子,息,KanjiWord
KANJI#42,WORD#95,息子,子,KanjiWord
KANJI#527,WORD#96,娘,娘,KanjiWord
KANJI#18,WORD#97,男,男,KanjiWord
KANJI#43,WORD#98,女,女,KanjiWord
KANJI#531,WORD#99,夫,夫,KanjiWord
KANJI#70,WORD#100,ご主人,人,KanjiWord
KANJI#245,WORD#100,ご主人,主,KanjiWord
KANJI#528,WORD#101,妻,妻,KanjiWord
KANJI#912,WORD#102,奥さん,奥,KanjiWord
KANJI#116,WORD#103,両親,親,KanjiWord
KANJI#616,WORD#103,両親,両,KanjiWord
KANJI#600,WORD#104,子供,供,KanjiWord
KANJI#42,WORD#104,子供,子,KanjiWord
KANJI#368,WORD#105,祖父,祖,KanjiWord
KANJI#20,WORD#105,祖父,父,KanjiWord
KANJI#368,WORD#107,祖母,祖,KanjiWord
KANJI#25,WORD#107,祖母,母,KanjiWord
KANJI#2082,WORD#109,叔父,叔,KanjiWord
KANJI#20,WORD#109,叔父,父,KanjiWord
KANJI#2082,WORD#110,叔母,叔,KanjiWord
KANJI#25,WORD#110,叔母,母,KanjiWord
KANJI#908,WORD#111,孫,孫,KanjiWord
KANJI#151,WORD#112,動物,物,KanjiWord
KANJI#224,WORD#112,動物,動,KanjiWord
KANJI#1180,WORD#113,豚,豚,KanjiWord
KANJI#152,WORD#114,牛,牛,KanjiWord
KANJI#997,WORD#115,鶏,鶏,KanjiWord
KANJI#165,WORD#116,服,服,KanjiWord
KANJI#137,WORD#117,着物,着,KanjiWord
KANJI#151,WORD#117,着物,物,KanjiWord
KANJI#888,WORD#118,帽子,帽,KanjiWord
KANJI#42,WORD#118,帽子,子,KanjiWord
KANJI#137,WORD#125,下着,着,KanjiWord
KANJI#75,WORD#125,下着,下,KanjiWord
KANJI#181,WORD#129,手袋,手,KanjiWord
KANJI#691,WORD#129,手袋,袋,KanjiWord
KANJI#1081,WORD#130,眼鏡,鏡,KanjiWord
KANJI#1472,WORD#130,眼鏡,眼,KanjiWord
KANJI#259,WORD#134,靴下,靴,KanjiWord
KANJI#75,WORD#134,靴下,下,KanjiWord
KANJI#259,WORD#135,靴,靴,KanjiWord
KANJI#154,WORD#137,海,海,KanjiWord
KANJI#38,WORD#138,川,川,KanjiWord
KANJI#39,WORD#139,山,山,KanjiWord
KANJI#89,WORD#140,風,風,KanjiWord
KANJI#30,WORD#141,木,木,KanjiWord
KANJI#830,WORD#142,森,森,KanjiWord
KANJI#130,WORD#143,空,空,KanjiWord
KANJI#632,WORD#144,雲,雲,KanjiWord
KANJI#815,WORD#145,池,池,KanjiWord
KANJI#119,WORD#146,花,花,KanjiWord
KANJI#331,WORD#147,草,草,KanjiWord
KANJI#237,WORD#148,体,体,KanjiWord
KANJI#257,WORD#149,頭,頭,KanjiWord
KANJI#251,WORD#150,首,首,KanjiWord
KANJI#711,WORD#151,腕,腕,KanjiWord
KANJI#457,WORD#152,指,指,KanjiWord
KANJI#221,WORD#153,口,口,KanjiWord
KANJI#342,WORD#154,耳,耳,KanjiWord
KANJI#139,WORD#155,目,目,KanjiWord
KANJI#619,WORD#156,鼻,鼻,KanjiWord
KANJI#249,WORD#157,髪,髪,KanjiWord
KANJI#151,WORD#158,食べ物,物,KanjiWord
KANJI#2,WORD#158,食べ物,食,KanjiWord
KANJI#148,WORD#159,料理,理,KanjiWord
KANJI#177,WORD#159,料理,料,KanjiWord
KANJI#88,WORD#160,ご飯,飯,KanjiWord
KANJI#1898,WORD#168,弁当,弁,KanjiWord
KANJI#493,WORD#168,弁当,当,KanjiWord
KANJI#88,WORD#171,朝ご飯,飯,KanjiWord
KANJI#164,WORD#171,朝ご飯,朝,KanjiWord
KANJI#168,WORD#172,昼ご飯,昼,KanjiWord
KANJI#88,WORD#172,昼ご飯,飯,KanjiWord
KANJI#88,WORD#173,晩ご飯,飯,KanjiWord
KANJI#443,WORD#173,晩ご飯,晩,KanjiWord
KANJI#217,WORD#176,味噌汁,味,KanjiWord
KANJI#1623,WORD#176,味噌汁,汁,KanjiWord
KANJI#152,WORD#179,牛肉,牛,KanjiWord
KANJI#122,WORD#179,牛肉,肉,KanjiWord
KANJI#1180,WORD#180,豚肉,豚,KanjiWord
KANJI#122,WORD#180,豚肉,肉,KanjiWord
KANJI#997,WORD#181,鶏肉,鶏,KanjiWord
KANJI#122,WORD#181,鶏肉,肉,KanjiWord
KANJI#939,WORD#182,卵,卵,KanjiWord
KANJI#22,WORD#183,水,水,KanjiWord
KANJI#152,WORD#184,牛乳,牛,KanjiWord
KANJI#981,WORD#184,牛乳,乳,KanjiWord
KANJI#117,WORD#186,お茶,茶,KanjiWord
KANJI#275,WORD#190,お酒,酒,KanjiWord
KANJI#8,WORD#195,車,車,KanjiWord
KANJI#105,WORD#199,自転車,転,KanjiWord
KANJI#121,WORD#199,自転車,自,KanjiWord
KANJI#8,WORD#199,自転車,車,KanjiWord
KANJI#3,WORD#200,電車,電,KanjiWord
KANJI#8,WORD#200,電車,車,KanjiWord
KANJI#212,WORD#201,地下鉄,地,KanjiWord
KANJI#644,WORD#201,地下鉄,鉄,KanjiWord
KANJI#75,WORD#201,地下鉄,下,KanjiWord
KANJI#252,WORD#202,飛行機,飛,KanjiWord
KANJI#423,WORD#202,飛行機,機,KanjiWord
KANJI#14,WORD#202,飛行機,行,KanjiWord
KANJI#335,WORD#203,船,船,KanjiWord
KANJI#97,WORD#208,野球,野,KanjiWord
KANJI#388,WORD#208,野球,球,KanjiWord
KANJI#2093,WORD#209,卓球,卓,KanjiWord
KANJI#388,WORD#209,卓球,球,KanjiWord
KANJI#1098,WORD#210,鉛筆,鉛,KanjiWord
KANJI#746,WORD#210,鉛筆,筆,KanjiWord
KANJI#36,WORD#214,万年筆,年,KanjiWord
KANJI#78,WORD#214,万年筆,万,KanjiWord
KANJI#746,WORD#214,万年筆,筆,KanjiWord
KANJI#404,WORD#215,消しゴム,消,KanjiWord
KANJI#127,WORD#217,紙,紙,KanjiWord
KANJI#746,WORD#219,筆箱,筆,KanjiWord
KANJI#357,WORD#219,筆箱,箱,KanjiWord
KANJI#744,WORD#220,計算機,算,KanjiWord
KANJI#423,WORD#220,計算機,機,KanjiWord
KANJI#114,WORD#220,計算機,計,KanjiWord
KANJI#273,WORD#222,玄関,関,KanjiWord
KANJI#1520,WORD#222,玄関,玄,KanjiWord
KANJI#467,WORD#223,台所,所,KanjiWord
KANJI#219,WORD#223,台所,台,KanjiWord
KANJI#278,WORD#224,部屋,部,KanjiWord
KANJI#196,WORD#224,部屋,屋,KanjiWord
KANJI#42,WORD#227,椅子,子,KanjiWord
KANJI#845,WORD#228,机,机,KanjiWord
