kanji,component1,component2,component3, component4,component5
係,イ,糸,幺,小,
便,イ,更,申,,
供,イ,共,龷,,
例,イ,列,歹,刂,
余,人,小,,,
位,イ,立,,,
似,イ,以,人,,
伝,イ,云,,,
任,イ,壬,,,
件,イ,牛,,,
付,イ,寸,,,
他,イ,也,,,
交,亠,父,,,
亡,亠,,,,
互,彑,,,,
争,ク,,,,
予,マ,,,,
乗,木,禾,,,
両,冂,山,,,
与,一,,,,
齢,歯,令,米,止,凵
鼻,自,田,廾,,
黄,龷,由,八,,
麦,龶,夂,,,
骨,冎,月,,,
駐,馬,主,王,灬,
香,禾,日,,,
額,客,頁,貝,目,夂
領,令,頁,貝,目,
預,予,頁,貝,目,マ
順,川,頁,貝,目,
革,廿,中,十,,
震,雨,辰,,,
零,雨,令,,,
雲,雨,云,,,
雇,戸,隹,,,
隻,隹,又,,,
階,阝,比,白,ヒ,
隅,阝,禺,甲,,
陸,阝,坴,圥,土,
防,阝,方,,,
門,,,,,
録,金,彐,氺,,
鋭,金,兄,,,
銅,金,同,,,
鉱,金,広,广,,
鉄,金,失,,,
鈍,金,屯,乚,,
針,金,十,,,
量,日,一,里,旦,
郵,垂,阝,,,
郊,阝,交,父,,
造,辶,告,,,
逆,辶,屰,,,
述,辶,朮,,,
辺,辶,刀,,,
農,曲,辰,,,
辛,立,十,,,
輸,車,俞,月,刂,
輪,車,侖,,,
軽,車,圣,又,土,
軟,車,欠,,,
軒,車,干,,,
軍,軍,車,冖,,
踊,足,止,甬,マ,
跡,足,亦,止,,
超,走,召,土,刀,
贈,曽,貝,目,田,
賢,臤,貝,目,臣,又
賞,貝,員,目,龸,
貿,刀,貝,目,,
貯,貝,宁,丁,,
販,貝,反,又,厂,
貨,化,貝,イ,ヒ,
貝,目,八,,,
象,ク,豕,,,
豊,曲,豆,,,
谷,八,人,口,,
講,言,冓,井,再,
諸,言,者,耂,,
課,言,果,甲,木,
誌,言,志,士,心,
詰,言,吉,士,,
詞,言,司,,,
設,言,殳,几,又,
訓,言,川,,,
触,角,虫,ク,中,
角,ク,,,,
複,衤,复,夂,,
補,衤,甫,,,
裏,亠,里,衣,,
装,壮,衣,士,丬,
被,皮,又,反,,
袋,代,衣,イ,弋,
衣,亠,,,,
血,皿,,,,
虫,中,,,,
薄,艹,専,氵,寸,
蔵,艹,戊,臣,,
蒸,艹,丞,灬,,
著,艹,者,耂,日,
菜,艹,采,⺤,木,
菓,艹,果,甲,木,
荷,艹,何,イ,可,
荒,艹,亡,川,巟,
芸,艹,云,,,
般,舟,殳,,,
航,舟,亢,几,,
舟,丹,,,,
臣,臣,巨,,,
臓,月,蔵,臣,戊,
膚,虍,胃,田,月,
腰,月,覀,女,要,
腕,月,夕,夗,㔾,
脳,月,⺍,凶,,
脂,月,ヒ,旨,日,
胸,月,凶,匈,勹,
胃,田,月,,,
肯,止,月,,,
肩,戸,月,,,
肌,月,几,,,
耕,耒,井,,,
翌,羽,立,冫,,
羽,冫,,,,
群,君,羊,,,
署,者,罒,耂,日,
缶,牛,,,,
績,糸,責,貝,龶,
練,糸,東,申,,
編,糸,戸,扁,冂,卄
線,糸,泉,白,水,
緑,糸,緑,彐,氺,
総,糸,公,心,,
綿,糸,白,巾,,
絡,糸,各,夂,,
紹,糸,召,,,
細,糸,田,,,
純,糸,屯,凵,乚,乚
紅,糸,工,,,
糸,幺,小,,,
粒,米,立,,,
粉,米,分,刀,,
籍,竹,耒,昔,龷,
簡,竹,間,門,日,
築,竹,筑,巩,木,凡
管,竹,官,㠯,,
算,竹,目,廾,,
筒,竹,同,冂,,
筆,竹,肀 ,二,,
符,竹,付,,,
竹,,,,,
競,立,兄,竞,,
童,立,里,,,
章,立,音,早,,
税,禾,兄,,,
移,禾,多,夕,,
秒,禾,少,,,
禁,林,示,小,,
祭,夕,又,示,小,
祝,礻,,,,
祈,礻,斤,,,
磨,广,麻,石,林,
硬,石,更,申,,
砂,石,少,小,,
短,矢,豆,,,
県,目,小,,,
省,少,小,目,,
皿,一,冂,,,
皮,反,,,,
療,疒,尞,大,日小,
畳,田,且,冖,,
略,田,各,夂,,
畜,玄,田,幺,,
甘,廿,,,,
瓶,幷,瓦,开,,
珍,王,㐱,彡,,
玉,王,,,,
版,片,反,,,
片,,,,,
爆,火,暴,龷,㳟,共
燥,火,品,木,喿,
燃,日,然,灬,犬,
