PK,SK,character,name,en,vi,EntityType
COMPONENT,455,平,,,,Component
COMPONENT,456,幵,,,,Component
COMPONENT,457,幷,,,,Component
COMPONENT,458,幸,,,,Component
COMPONENT,459,幺,,,,Component
COMPONENT,460,幾,,,,Component
COMPONENT,461,广,,,,Component
COMPONENT,462,広,,,,Component
COMPONENT,463,府,,,,Component
COMPONENT,464,度,,,,Component
COMPONENT,465,庶,,,,Component
COMPONENT,466,廌,,,,Component
COMPONENT,467,廴,,,,Component
COMPONENT,468,延,,,,Component
COMPONENT,469,廷,,,,Component
COMPONENT,470,建,,,,Component
COMPONENT,471,廾,,,,Component
COMPONENT,472,廿,,,,Component
COMPONENT,473,开,,,,Component
COMPONENT,474,弋,,,,Component
COMPONENT,475,式,,,,Component
COMPONENT,476,弓,,,,Component
COMPONENT,477,弔,,,,Component
COMPONENT,478,弗,,,,Component
COMPONENT,479,弟,,,,Component
COMPONENT,480,彐,,,,Component
COMPONENT,481,彑,,,,Component
COMPONENT,482,录,,,,Component
COMPONENT,483,彗,,,,Component
COMPONENT,484,彡,,,,Component
COMPONENT,485,彦,,,,Component
COMPONENT,486,彭,,,,Component
COMPONENT,487,彳,,,,Component
COMPONENT,488,従,,,,Component
COMPONENT,489,復,,,,Component
COMPONENT,490,徴,,,,Component
COMPONENT,491,心,,,,Component
COMPONENT,492,忄,,,,Component
COMPONENT,493,必,,,,Component
COMPONENT,494,忍,,,,Component
COMPONENT,495,志,,,,Component
COMPONENT,496,忝,,,,Component
COMPONENT,497,忩,,,,Component
COMPONENT,498,念,,,,Component
COMPONENT,499,思,,,,Component
COMPONENT,500,恵,,,,Component
COMPONENT,501,愈,,,,Component
COMPONENT,502,意,,,,Component
COMPONENT,503,感,,,,Component
COMPONENT,504,戈,,,,Component
COMPONENT,505,戊,,,,Component
COMPONENT,506,戎,,,,Component
COMPONENT,507,成,,,,Component
COMPONENT,508,我,,,,Component
COMPONENT,509,或,,,,Component
COMPONENT,510,戸,,,,Component
COMPONENT,511,扁,,,,Component
COMPONENT,512,手,,,,Component
COMPONENT,513,扌,,,,Component
COMPONENT,514,才,,,,Component
COMPONENT,515,折,,,,Component
COMPONENT,516,挂,,,,Component
COMPONENT,517,支,,,,Component
COMPONENT,518,攵,,,,Component
COMPONENT,519,攸,,,,Component
COMPONENT,520,放,,,,Component
COMPONENT,521,敏,,,,Component
COMPONENT,522,敝,,,,Component
COMPONENT,523,敢,,,,Component
COMPONENT,524,敫,,,,Component
COMPONENT,525,敬,,,,Component
COMPONENT,526,文,,,,Component
COMPONENT,527,斉,,,,Component
COMPONENT,528,斗,,,,Component
COMPONENT,529,斤,,,,Component
COMPONENT,530,斥,,,,Component
COMPONENT,531,斬,,,,Component
COMPONENT,532,新,,,,Component
COMPONENT,533,方,,,,Component
COMPONENT,534,旁,,,,Component
COMPONENT,535,旉,,,,Component
COMPONENT,536,旡,,,,Component
COMPONENT,537,既,,,,Component
COMPONENT,538,日,,,,Component
COMPONENT,539,日小,,,,Component
COMPONENT,540,日罒,,,,Component
COMPONENT,541,旦,,,,Component
COMPONENT,542,旧,,,,Component
COMPONENT,543,旨,,,,Component
COMPONENT,544,早,,,,Component
COMPONENT,545,旬,,,,Component
COMPONENT,546,昌,,,,Component
COMPONENT,547,明,,,,Component
COMPONENT,548,昏,,,,Component
COMPONENT,549,昔,,,,Component
COMPONENT,550,昜,,,,Component
COMPONENT,551,春,,,,Component
COMPONENT,552,昭,,,,Component
COMPONENT,553,是,,,,Component
COMPONENT,554,昷,,,,Component
COMPONENT,555,显,,,,Component
COMPONENT,556,時,,,,Component
COMPONENT,557,晃,,,,Component
COMPONENT,558,景,,,,Component
COMPONENT,559,暴,,,,Component
COMPONENT,560,曲,,,,Component
COMPONENT,561,更,,,,Component
COMPONENT,562,曷,,,,Component
COMPONENT,563,曹,,,,Component
COMPONENT,564,曽,,,,Component
COMPONENT,565,替,,,,Component
COMPONENT,566,最,,,,Component
COMPONENT,567,月,,,,Component
COMPONENT,568,有,,,,Component
COMPONENT,569,朋,,,,Component
COMPONENT,570,朔,,,,Component
COMPONENT,571,朝,,,,Component
COMPONENT,572,木,,,,Component
COMPONENT,573,未,,,,Component
COMPONENT,574,末,,,,Component
COMPONENT,575,本,,,,Component
COMPONENT,576,朮,,,,Component
COMPONENT,577,朱,,,,Component
COMPONENT,578,朿,,,,Component
COMPONENT,579,杀,,,,Component
COMPONENT,580,杂,,,,Component
COMPONENT,581,村,,,,Component
COMPONENT,582,束,,,,Component
COMPONENT,583,東,,,,Component
COMPONENT,584,林,,,,Component
COMPONENT,585,果,,,,Component
COMPONENT,586,枼,,,,Component
COMPONENT,587,某,,,,Component
COMPONENT,588,桀,,,,Component
COMPONENT,589,桼,,,,Component
COMPONENT,590,楚,,,,Component
COMPONENT,591,楽,,,,Component
COMPONENT,592,欠,,,,Component
COMPONENT,593,次,,,,Component
COMPONENT,594,欶,,,,Component
COMPONENT,595,止,,,,Component
COMPONENT,596,正,,,,Component
COMPONENT,597,此,,,,Component
COMPONENT,598,武,,,,Component
COMPONENT,599,歩,,,,Component
COMPONENT,600,歯,,,,Component
COMPONENT,601,歹,,,,Component
COMPONENT,602,歺,,,,Component
COMPONENT,603,殳,,,,Component
COMPONENT,604,段,,,,Component
COMPONENT,605,殸,,,,Component
COMPONENT,606,毋,,,,Component
COMPONENT,607,毌,,,,Component
COMPONENT,608,毎,,,,Component
COMPONENT,609,比,,,,Component
COMPONENT,610,毛,,,,Component
COMPONENT,611,氏,,,,Component
COMPONENT,612,氐,,,,Component
COMPONENT,613,民,,,,Component
COMPONENT,614,气,,,,Component
COMPONENT,615,水,,,,Component
COMPONENT,616,氵,,,,Component
COMPONENT,617,永,,,,Component
COMPONENT,618,氺,,,,Component
COMPONENT,619,氿,,,,Component
COMPONENT,620,求,,,,Component
COMPONENT,621,江,,,,Component
COMPONENT,622,沓,,,,Component
COMPONENT,623,沙,,,,Component
COMPONENT,624,泉,,,,Component
COMPONENT,625,波,,,,Component
COMPONENT,626,洲,,,,Component
COMPONENT,627,涂,,,,Component
COMPONENT,628,溥,,,,Component
COMPONENT,629,滕,,,,Component
COMPONENT,630,潘,,,,Component
COMPONENT,631,火,,,,Component
COMPONENT,632,灬,,,,Component
COMPONENT,633,炎,,,,Component
